PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNHLY,PEERNHRO
14265,49,14,18,6,1,39,1,2,40140,1,900,18
14315,23,17,46,1,2,39,4,1,40900,1,2020,40
14318,33,20,26,6,1,43,4,1,40900,1,3382,40
14414,27,21,23,6,1,43,4,1,41940,1,1600,40
14431,38,17,28,6,1,38,2,1,31080,1,1000,50
14507,46,13,25,6,1,37,1,2,31080,1,1000,30
14541,40,15,70,3,2,39,1,2,41940,1,1133,19
14553,42,15,61,4,2,39,4,1,31080,1,1000,40
14554,42,15,24,6,2,40,4,1,31080,1,1000,40
14567,6,22,37,1,1,33,1,1,31080,1,1100,45
14568,46,13,31,1,2,39,1,2,31080,1,1000,20
14658,40,2,43,1,2,39,2,1,41860,1,2200,40
14659,40,4,52,1,1,39,2,1,41860,1,2500,40
14665,48,15,44,1,2,39,4,2,41940,1,2500,20
14670,51,15,59,5,2,35,1,2,41740,1,1200,20
14674,46,13,38,6,2,43,1,1,41740,1,1000,35
14675,46,13,27,6,1,40,2,1,41740,1,1500,40
14785,42,17,24,6,2,40,1,1,41740,1,1850,40
14816,22,22,57,6,1,32,1,1,41940,1,1900,40
14817,46,13,52,6,2,33,1,1,41940,1,1250,40
14881,46,14,66,1,2,32,1,1,31080,1,721,40
14967,21,22,55,1,1,34,1,1,31080,1,1050,40
14968,22,16,20,6,2,40,1,2,31080,1,1000,20
14994,36,3,31,1,1,43,4,1,41860,1,2200,40
14997,40,8,66,2,1,44,4,1,41860,1,1800,40
15062,41,10,32,6,1,41,4,1,41940,1,2600,40
15148,22,3,26,6,2,43,1,1,31080,1,1100,40
15173,32,17,42,1,2,39,2,1,31080,1,1855,40
15195,44,1,40,4,2,43,4,1,31080,1,2050,40
15209,46,13,23,6,1,42,1,1,41860,1,1400,40
15210,22,16,21,6,2,42,1,1,41860,1,1400,40
15215,21,17,37,5,2,39,1,1,40140,1,1100,40
15289,44,13,44,1,2,40,4,1,41940,1,1100,35
15293,44,13,19,6,1,40,1,1,41940,1,1150,35
15335,51,17,30,6,2,43,4,1,41860,1,2064,40
15348,46,13,42,1,2,43,4,1,31080,1,1800,40
15403,46,1,32,6,1,42,1,1,41740,1,2000,50
15421,42,17,31,6,2,43,1,1,31080,1,1650,40
15506,22,17,50,6,1,34,1,1,31080,1,1050,40
15507,22,9,69,4,2,39,1,1,31080,1,900,20
15508,22,17,45,6,2,39,1,1,31080,1,2400,40
15515,22,21,61,3,1,36,1,1,41860,1,2157,40
15524,42,15,66,1,1,39,4,2,41860,1,1000,20
15525,36,3,33,6,1,43,4,2,41860,1,1000,20
15569,46,16,22,6,1,40,2,2,31080,1,900,25
15580,22,16,46,5,2,42,1,1,31080,1,1500,40
22413,1,1,22,6,1,40,1,1,19740,1,1500,40
22415,1,18,26,6,1,40,1,1,19740,1,1350,40
22425,38,14,42,1,1,33,1,1,19740,1,1976,40
22427,22,20,17,6,1,36,1,2,19740,1,1250,26
22511,4,19,39,6,2,33,1,1,19740,1,1100,40
22516,4,19,17,6,1,37,1,1,19740,1,1450,40
22600,22,12,58,4,1,43,1,1,19740,1,1360,40
22677,25,17,53,3,2,39,1,1,19740,1,2593,40
22678,46,13,55,3,2,39,1,1,19740,1,499,40
22757,42,11,48,4,1,40,1,1,19740,1,1972,40
22761,42,15,61,3,2,43,2,2,19740,1,1500,20
22906,38,22,23,6,1,38,1,1,19740,1,1125,45
24290,41,10,24,6,2,39,2,1,14860,1,1000,40
24312,41,11,29,6,2,39,2,1,14860,1,1300,40
24347,6,21,35,1,2,35,1,1,14860,1,900,40
24350,38,17,37,1,2,39,1,2,14860,1,925,2
24402,50,14,32,1,2,43,1,2,14860,1,825,30
24544,22,17,46,3,2,33,1,1,25540,1,1275,40
24549,22,16,37,4,2,40,2,1,14860,1,1250,40
27776,43,15,23,6,2,39,2,1,47900,1,750,35
27791,49,14,52,6,1,39,2,1,47900,1,1500,35
27805,34,17,23,6,2,40,2,1,47900,1,1000,40
27915,38,14,66,1,2,32,1,1,47900,1,1568,40
27917,22,16,26,6,2,39,1,1,47900,1,1200,40
27918,38,14,33,6,1,39,1,1,47900,1,1400,40
27987,36,1,40,6,2,43,1,1,47900,1,1200,40
28260,36,7,34,1,1,44,1,1,47900,1,3400,40
28261,36,2,34,1,2,44,8,1,47900,1,1850,40
28283,45,17,32,1,2,42,2,1,47900,1,1650,40
28317,4,19,41,1,1,39,1,1,47900,1,2100,35
28344,14,17,21,6,1,39,1,2,47900,1,1000,20
28345,49,2,21,6,1,40,1,1,47900,1,1000,45
28358,38,15,21,6,1,40,2,1,47900,1,1000,36
28359,38,15,21,6,1,40,2,1,47900,1,1000,36
28360,22,16,21,6,1,40,2,1,47900,1,1250,36
28486,36,17,36,5,2,40,2,1,47900,1,1000,50
28552,23,15,43,6,2,38,2,1,47900,1,1700,40
28655,22,16,31,1,2,40,1,1,47900,1,1700,40
28756,42,3,29,6,2,43,1,1,47900,1,2325,40
28926,36,1,22,6,1,43,1,1,47900,1,2163,40
28927,49,1,24,6,2,43,1,1,47900,1,1400,40
28942,25,9,27,6,1,43,1,1,47900,1,1500,40
28944,32,9,27,6,1,43,1,1,47900,1,1500,40
28981,50,14,67,1,2,37,4,2,47900,1,800,15
28983,50,14,69,3,2,36,4,2,47900,1,800,20
29026,46,13,33,6,2,39,2,1,47900,1,1325,40
29049,38,14,41,1,2,33,1,1,47900,1,1350,40
29126,38,3,21,6,1,40,2,2,47900,1,850,30
29182,45,15,16,6,1,36,1,2,47900,1,1000,30
29232,40,5,27,6,2,40,2,1,47900,1,1771,40
29377,38,12,55,1,1,39,2,1,47900,1,1609,40
29452,6,19,39,1,1,37,2,1,47900,1,1500,40
29467,29,20,61,6,1,39,2,2,47900,1,1600,25
