PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PRUNEDUR,PRUNTYPE
29328,40,8,65,6,2,39,2,1,47900,8,1
29332,22,22,44,4,1,43,2,1,47900,24,3
29368,38,14,21,6,1,39,2,2,47900,3,5
29378,22,17,55,1,2,39,2,1,47900,117,2
29379,22,17,24,6,1,39,2,1,47900,65,2
29424,42,10,29,6,2,42,2,1,47900,16,5
29507,40,10,34,1,2,44,1,1,47900,7,1
29520,-1,-1,22,6,1,40,2,2,47900,26,6
29521,38,12,28,6,2,39,2,1,47900,16,5
29526,38,14,21,6,1,40,2,2,47900,3,5
29554,38,14,21,6,1,40,3,1,47900,13,5
29630,24,1,52,1,1,40,1,1,47900,104,2
29749,42,14,67,4,1,42,2,1,47900,21,5
29793,4,19,65,4,1,40,2,1,47900,52,5
29800,46,13,16,6,1,36,2,1,47900,52,5
29818,41,14,21,6,1,39,2,1,47900,16,5
29906,22,16,62,6,2,39,2,1,47900,22,2
29919,22,10,34,2,2,40,16,2,47900,8,2
29940,51,7,29,1,2,43,1,2,47900,1,5
29956,40,8,53,1,1,40,2,1,47900,4,3
30015,22,17,21,6,1,39,2,1,47900,12,5
30044,38,14,38,6,1,39,2,1,47900,12,3
30098,-1,-1,23,6,1,44,4,1,47900,16,6
30099,-1,-1,28,6,1,44,4,1,47900,8,6
30110,36,2,24,6,1,44,2,1,47900,8,5
30116,40,8,58,3,1,44,1,1,47900,8,3
30117,22,16,22,6,2,43,1,1,47900,7,5
30129,46,13,28,6,2,40,2,1,47900,6,2
30135,49,13,32,6,2,40,2,1,47900,52,2
30184,38,16,29,6,2,39,2,1,47900,52,3
30263,34,20,68,4,1,35,2,1,47900,39,2
30517,22,17,39,6,1,39,1,1,45300,52,2
30518,47,17,64,4,2,39,1,1,45300,119,2
30842,14,1,31,1,2,39,1,2,45300,6,4
30872,43,15,16,6,2,36,2,1,33100,3,5
31262,22,16,52,6,1,42,1,1,45300,119,2
31415,45,17,32,6,1,40,1,1,45300,2,4
31506,22,17,27,6,1,39,1,1,33100,4,2
31522,21,16,40,1,2,33,2,1,33100,30,4
31523,21,16,42,1,1,33,2,1,33100,30,4
31829,38,14,34,6,2,39,1,1,33100,2,3
37010,36,17,63,4,2,42,2,1,12060,13,5
37110,48,15,65,6,2,44,1,1,12060,91,2
37122,43,8,29,6,2,40,2,1,12060,12,1
37142,22,17,24,6,1,39,2,1,12060,65,2
37149,46,16,20,1,2,39,2,1,12060,69,2
37150,4,19,19,1,1,38,2,1,12060,78,2
45016,47,20,16,6,1,36,1,1,16980,8,5
45098,38,16,55,1,1,43,1,1,16980,119,4
45115,40,9,29,2,2,44,1,1,16980,65,4
45206,4,19,29,1,1,37,1,1,16980,7,3
45210,40,8,26,1,2,43,1,2,16980,48,2
45233,40,8,22,1,2,43,1,2,16980,2,4
45250,46,22,27,6,1,37,1,1,16980,65,4
45308,46,22,24,6,1,40,2,1,16980,13,1
45352,46,13,51,4,2,41,1,1,16980,61,5
45394,40,15,32,6,2,40,2,1,16980,4,5
45436,-1,-1,20,6,1,40,1,1,16980,56,6
45451,32,17,25,6,2,43,2,1,16980,2,2
45455,38,21,40,6,2,38,1,1,16980,16,3
45467,38,22,35,6,1,39,2,1,16980,104,3
45470,38,22,47,1,1,39,2,1,16980,104,3
45475,38,22,46,1,2,39,2,1,16980,104,3
45561,45,15,25,1,1,40,1,1,16980,13,2
45631,38,2,67,4,1,43,1,1,16980,52,4
45632,14,22,51,1,2,34,1,1,16980,108,5
45633,35,20,52,1,1,39,1,1,16980,119,5
45724,38,22,21,6,1,39,2,1,16980,0,5
45880,4,19,49,6,1,39,2,1,16980,26,5
45890,-1,-1,20,6,1,39,2,1,16980,0,6
45891,46,16,20,6,2,39,2,1,16980,119,5
45895,48,15,37,6,2,39,2,1,16980,4,5
45988,44,16,25,6,2,39,3,1,16980,3,3
46013,-1,-1,18,6,1,39,1,1,16980,8,6
46017,34,1,54,4,2,43,2,1,16980,119,5
46018,16,9,24,6,2,40,2,1,16980,4,3
49067,33,2,64,1,2,44,1,1,26900,6,1
49247,36,1,34,6,2,45,2,1,26900,1,5
49252,46,13,20,6,1,39,6,1,26900,43,5
49261,38,22,31,1,1,40,10,2,26900,2,1
49281,40,8,36,1,2,44,2,1,26900,1,4
49391,38,1,58,4,2,40,1,1,26900,8,2
49455,48,22,19,6,1,40,1,1,26900,7,5
49562,51,17,46,2,2,39,1,1,26900,4,4
53294,38,16,25,6,1,40,2,2,28140,52,5
57099,22,13,41,6,2,39,2,1,35380,6,4
57217,46,16,24,6,2,39,2,1,35380,1,5
57371,38,14,51,6,1,39,2,1,35380,26,3
57411,22,16,37,6,2,41,2,1,35380,2,4
57489,40,6,47,1,1,43,1,1,35380,16,4
57504,43,6,69,3,1,40,1,2,35380,12,5
57526,4,19,29,1,1,39,3,1,35380,2,2
57592,14,5,51,1,1,42,6,1,35380,2,3
61853,22,16,40,6,2,39,2,1,12580,5,4
61856,22,16,44,6,2,39,2,2,12580,6,2
61917,40,13,66,6,2,39,2,1,12580,2,1
62216,4,20,50,1,1,36,1,1,12580,13,2
62243,51,1,58,4,2,43,2,1,12580,8,3
63720,-1,-1,16,6,1,43,1,1,14460,10,6
63748,46,16,25,6,2,40,1,1,14460,30,5
66838,14,13,55,3,2,40,2,1,19820,16,2
66927,22,17,26,6,2,36,1,1,19820,2,5
66955,41,10,47,4,2,44,6,2,19820,12,1
67137,22,16,18,6,2,37,2,1,19820,13,5
67138,46,16,20,6,2,37,2,1,19820,13,5
67139,42,11,23,6,2,39,2,1,19820,9,5
67265,22,17,18,6,1,37,2,1,19820,2,5
67371,6,21,34,6,2,40,2,2,19820,35,2
67471,38,22,31,6,1,39,2,1,19820,4,5
70266,-1,-1,15,6,2,35,1,2,33460,4,6
70322,50,14,24,1,1,39,1,1,33460,22,5
70329,48,15,24,1,2,40,1,1,33460,1,3
70396,46,13,36,6,1,39,1,2,33460,2,5
70421,33,2,32,4,2,39,1,1,33460,2,5
70427,-1,-1,25,6,2,40,2,1,33460,6,6
75029,4,1,54,3,2,36,1,1,28140,91,2
75110,38,12,35,1,1,44,1,1,28140,9,2
75158,4,19,41,6,1,40,2,1,28140,8,5
75159,48,22,65,5,1,43,1,2,28140,5,1
75225,38,14,24,6,2,39,2,1,28140,104,3
75262,46,13,30,6,2,39,1,1,28140,3,5
82146,4,19,34,1,1,32,3,1,29820,104,2
82209,22,16,57,4,2,39,1,1,29820,35,2
82276,-1,-1,45,1,2,39,2,1,29820,52,6
82307,44,15,57,5,1,43,2,1,29820,16,2
82375,23,22,40,1,1,39,2,1,29820,25,4
82409,33,2,56,4,1,43,2,1,29820,119,5
82418,36,7,53,4,2,39,1,1,29820,5,5
82441,46,13,31,1,2,35,1,1,29820,2,3
82546,32,17,31,6,2,40,2,1,29820,35,2
82587,21,19,50,1,1,36,1,1,29820,25,2
82703,46,13,21,6,1,39,5,1,29820,104,5
82719,42,11,48,2,2,40,1,1,29820,4,5
82793,22,1,54,1,2,39,1,1,29820,30,2
82860,46,13,19,6,2,39,1,1,29820,8,4
82926,34,22,67,1,1,39,1,1,29820,3,1
82940,44,16,51,1,2,40,2,1,29820,17,2
82947,51,1,69,4,1,43,1,1,29820,44,5
82957,40,8,54,1,1,43,1,1,29820,8,1
82958,40,8,55,1,2,44,1,1,29820,8,1
86104,43,8,57,4,2,42,1,1,35620,7,2
86138,4,17,49,6,2,39,2,1,35620,35,2
86143,36,3,32,1,2,44,4,1,35620,108,2
86163,40,8,42,1,2,40,2,2,35620,5,1
86180,32,16,39,6,1,42,2,1,35620,52,2
86191,51,17,85,1,2,39,2,2,35620,2,1
86226,40,8,67,1,2,41,2,2,35620,2,1
92183,43,8,42,1,2,39,4,2,35620,8,1
92207,50,15,61,1,2,39,4,1,35620,119,2
