PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
15597,4,19,64,1,1,42,1,31080,1,47,2,4,6,-1,-1,-1,-1
15598,42,17,57,1,2,42,1,31080,1,119,2,6,-1,-1,-1,-1,-1
22401,22,16,27,1,1,44,1,19740,1,4,5,1,4,6,10,12,-1
22591,47,16,55,1,1,40,1,19740,1,104,2,1,-1,-1,-1,-1,-1
22592,40,8,51,1,2,44,1,19740,1,34,2,6,8,-1,-1,-1,-1
22746,27,20,32,1,2,37,1,19740,1,35,2,10,6,-1,-1,-1,-1
22784,-1,-1,16,6,2,36,1,19740,2,8,6,1,-1,-1,-1,-1,-1
22785,-1,-1,17,6,2,37,1,19740,2,8,6,1,-1,-1,-1,-1,-1
22841,22,16,31,4,2,39,1,19740,1,3,4,1,2,4,6,8,10
22903,34,1,22,6,1,43,1,19740,1,3,4,6,10,-1,-1,-1,-1
22912,20,21,57,1,2,35,1,19740,1,2,2,4,1,-1,-1,-1,-1
22913,20,21,58,1,1,39,1,19740,1,2,2,4,1,-1,-1,-1,-1
24299,38,12,24,6,1,39,2,14860,1,12,5,1,10,-1,-1,-1,-1
27608,45,17,27,6,2,36,2,47900,1,30,5,1,6,-1,-1,-1,-1
27777,23,22,25,6,1,39,2,47900,1,48,3,6,4,11,-1,-1,-1
27811,23,22,73,6,1,39,2,47900,1,119,5,4,10,-1,-1,-1,-1
27825,22,13,29,6,1,39,2,47900,1,3,2,1,3,2,10,9,-1
27828,38,12,39,6,2,39,2,47900,1,16,2,6,1,-1,-1,-1,-1
27853,43,15,33,6,2,36,1,47900,1,2,5,6,1,-1,-1,-1,-1
27899,22,22,26,6,1,37,2,47900,1,26,3,6,4,-1,-1,-1,-1
27977,17,21,27,6,2,39,2,47900,1,30,5,8,6,10,4,-1,-1
27980,46,13,31,6,1,39,2,47900,1,12,3,6,8,10,-1,-1,-1
27982,49,2,26,6,2,44,1,47900,1,3,5,6,4,10,-1,-1,-1
28035,-1,-1,38,1,2,44,1,47900,1,44,6,4,1,6,10,-1,-1
28091,13,1,23,6,1,43,1,47900,1,4,5,13,-1,-1,-1,-1,-1
28124,44,15,44,6,1,39,2,47900,2,119,5,6,4,-1,-1,-1,-1
28129,22,17,19,6,1,40,2,47900,2,4,5,10,8,-1,-1,-1,-1
28143,38,12,36,6,2,39,2,47900,1,56,5,9,-1,-1,-1,-1,-1
