PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEHRUSL1,PEHRUSLT
5837,51,2,37,1,2,43,1,1,38060,40,40
5841,42,1,38,1,2,43,1,1,38060,40,40
5842,51,3,47,1,1,43,4,1,38060,40,40
5864,39,17,43,6,2,39,2,1,38060,40,40
5865,46,13,18,6,1,39,2,2,38060,30,30
5870,31,8,23,6,1,39,1,2,38060,19,19
5871,22,22,21,6,1,39,1,1,38060,36,36
5877,22,16,54,1,2,37,1,2,38060,7,7
5879,48,2,47,4,2,39,1,1,38060,42,42
5881,22,17,56,4,2,39,1,1,38060,40,40
5882,22,17,49,1,1,31,4,1,38060,40,40
5884,22,17,21,6,1,40,4,2,38060,20,20
5885,45,17,27,1,1,39,4,1,38060,40,40
5886,43,8,26,1,2,40,4,1,38060,40,40
5889,42,6,55,1,1,44,2,1,38060,40,40
5893,38,17,28,6,1,40,2,2,38060,30,30
5906,42,17,24,6,2,40,1,1,38060,40,40
5907,40,8,60,1,1,44,1,1,38060,40,40
5908,40,8,58,1,2,44,1,1,38060,40,40
5912,46,13,17,6,1,37,1,2,38060,20,20
5913,22,16,18,6,2,39,1,2,38060,20,20
5915,46,13,25,6,1,39,1,1,38060,40,40
5922,33,16,65,4,1,42,1,1,38060,40,40
5925,36,5,36,5,1,43,1,1,38060,40,40
5927,43,15,32,4,2,39,1,2,38060,30,30
5930,49,6,41,1,1,43,2,1,38060,60,60
5938,38,10,52,4,2,41,1,2,38060,30,30
5944,45,13,26,6,1,40,1,2,38060,30,30
5945,43,8,42,1,2,43,1,2,38060,9,9
5946,42,1,41,1,1,43,1,1,38060,40,40
5951,37,2,40,4,1,43,1,1,38060,60,60
5952,36,3,35,1,1,39,4,1,38060,40,40
5956,23,22,47,4,1,42,1,1,38060,40,40
5957,23,22,47,2,1,44,1,1,38060,40,40
5960,40,16,46,1,1,43,1,1,38060,50,50
5962,38,14,46,5,2,39,1,1,38060,-4,-4
5965,38,14,44,6,1,31,1,2,38060,-4,-4
5968,1,1,39,1,1,43,1,1,38060,40,40
5970,22,16,27,6,1,44,1,2,38060,32,32
5974,41,11,44,4,1,40,2,1,38060,40,40
5975,23,22,41,1,1,39,1,1,38060,40,40
5978,43,15,17,6,1,37,1,2,38060,15,15
5980,38,7,61,4,2,40,1,2,38060,-4,-4
5981,51,17,34,6,1,40,1,1,38060,40,40
5991,48,16,52,1,1,40,1,1,38060,45,45
5992,40,6,38,1,2,44,1,1,38060,40,40
5993,32,2,64,4,2,43,1,1,38060,40,40
5997,32,3,57,4,2,43,1,1,38060,40,40
5998,40,8,44,1,2,44,1,1,38060,50,50
6007,4,17,40,1,2,42,1,2,38060,20,20
6008,34,16,40,1,1,43,1,1,38060,45,45
6016,46,13,31,6,1,40,1,1,38060,40,40
7407,36,1,36,6,2,44,2,1,30780,40,40
7408,40,8,32,6,2,44,2,1,30780,40,40
7409,32,2,30,6,1,43,1,1,30780,40,40
7432,40,8,38,1,2,44,1,1,30780,40,40
7433,42,5,39,1,1,46,1,1,30780,40,40
7441,44,9,43,1,1,39,2,2,30780,21,21
7442,45,16,45,1,2,40,2,1,30780,40,40
7458,36,4,64,1,1,40,1,1,30780,40,40
7459,22,16,66,4,2,39,1,1,30780,72,72
7469,40,8,28,6,1,44,2,1,30780,55,55
7470,46,1,22,6,1,40,1,1,30780,40,40
7489,45,20,33,6,1,40,1,1,30780,-4,-4
7495,4,19,42,1,1,37,2,1,30780,55,55
7502,4,19,34,1,1,39,1,1,30780,40,40
7520,22,16,44,4,1,43,1,1,30780,80,80
7524,51,7,35,1,2,46,1,1,30780,42,42
7527,4,19,38,1,1,39,1,1,30780,40,40
7537,33,17,29,6,2,44,2,1,30780,40,40
7554,23,1,25,6,1,44,1,1,30780,-4,-4
7562,33,2,31,4,2,40,2,1,30780,40,40
7564,51,7,26,6,2,40,2,1,30780,40,40
7568,51,1,51,2,2,43,2,1,30780,40,40
7572,23,1,54,1,2,39,2,2,30780,30,30
7573,23,22,57,1,1,36,2,1,30780,60,60
7574,41,10,26,6,2,43,2,1,30780,36,36
7579,18,21,26,6,1,43,1,1,30780,40,40
7627,22,16,30,6,2,43,1,1,30780,39,39
7660,4,17,35,1,1,43,1,1,30780,40,40
7665,43,15,32,6,2,36,2,1,30780,40,40
7678,22,9,38,6,2,40,1,1,30780,40,40
7689,4,19,44,1,1,33,2,1,30780,38,38
7717,4,1,66,5,1,40,1,1,30780,40,40
7723,33,16,34,4,1,43,1,1,30780,40,40
7730,27,9,24,6,1,43,1,1,30780,40,40
7732,42,10,71,1,1,44,1,2,30780,16,16
7740,40,1,42,4,2,40,2,1,30780,40,40
7747,50,14,30,1,2,34,1,1,30780,40,40
7756,22,16,64,1,2,39,2,2,30780,32,32
7759,46,13,23,6,1,40,1,2,30780,25,25
7760,46,13,20,6,2,40,1,2,30780,20,20
7778,32,3,36,1,1,39,1,1,30780,40,40
7837,23,22,38,4,2,43,1,1,30780,40,40
7842,40,8,60,1,2,44,1,1,30780,40,40
7849,42,13,56,6,2,39,2,1,30780,35,35
7866,46,13,18,6,1,39,2,1,30780,40,40
7890,36,9,58,1,1,43,1,1,30780,45,45
7891,36,5,53,1,2,44,1,1,30780,45,45
7908,40,8,24,5,2,43,2,1,30780,40,40
7909,46,16,25,5,2,43,2,1,30780,40,40
7912,42,15,71,3,2,42,1,1,30780,96,96
7934,4,19,24,5,1,39,2,2,30780,12,12
7943,32,2,59,1,1,43,1,1,30780,40,40
7948,51,1,44,1,2,43,1,1,30780,50,50
7949,51,1,45,1,1,43,1,1,30780,40,40
8007,44,9,70,3,2,43,1,2,30780,3,3
8011,41,10,24,5,1,43,2,1,30780,60,60
8021,38,12,65,4,1,44,1,1,30780,40,40
8029,43,14,57,6,1,39,2,2,30780,20,20
8036,38,2,41,6,1,44,2,1,30780,40,40
8069,10,21,64,1,1,41,2,1,30780,40,40
8073,32,16,70,1,1,43,1,1,30780,40,40
8077,41,10,28,1,1,45,1,1,30780,40,40
